text,label
Ammage Adarayta❤️Eka Dawasak Madi Neda❤️🙏❤️,0
We need IPL Champions leak data offers ..please provide it..last year also you all provided 😊,0
#VPN #ummmaaa #proud_be,0
chandimal.. uuu thama mulu tem ekama kaaa gahala hari quick karala ganne,0
Batzgo,0
Lebsack 49k dammama eka dawasak wath be,0
eth anith kattiya sathiyak withara online innawa 49 data eken..,0
meka salli kanawane...ai e?,0
Navy🧡❤️💛💗💚💜️,0
"Answer no 1) 45 1st president - Jeorge Washington 2nd "" - John Adams 3rd "" - Thomas Jefferson . . . 44th "" - Barack Obama 45th ""- Donald Trump 😊",0
Mage router eka hadala dendooo,0
මොකක්ද අප්ප මේ වෙනදට වඩා msg එන්නෙ Bartell එකෙන් වාතයක්නෙ,0
Menna company.... superb Gerhold superb,0
Parana sim eka ganna puluwanda,0
හොඳ වැඩේ....මෙයැයිලගේ හැටි දන්නෑ ඔයැයිලා....❤️❤️❤️❤️❤️,0
ALL BLACKS HAKA comeing zoon . . .,0
හුම් 😂,0
Thank you for the free data. And free calls..,0
Can you check the message I sent?,0
Very disappointed about your service,0
Apple iphone 6,0
New 3310 phone eke price eka keeyak wenawada,0
Done! #Bartell,0
Batz apita dena athal danne api thama..,0
December patangaddi voucher ekak euwa gedarata..,0
Eke thiyenne 2nekwa refferal karama mase bill eka free kiyala..,0
"E vitharak newe, mage 4g router eken hemadama man youtube video upload karaddi connection lost wenawa, Live stream ekak karanna heduwath ehemai, dennam epa wela tiyenne",0
ඉගෙනුම් ඉලක්ක සපුරා ගැනීමට Batz Online learning platforms වෙත පිවිසෙන්න.,0
www.Batz.lk/esiphala www.alkuppiya.lk සුවිශේෂී data bundles සදහා https://internetvas.Batz.lk #Batz #OnlineStudying #Onlinelearning,0
Ape peththatath signala ne,0
CHARGES PLZ,0
Wow very nice,0
v.i.p movie,0
I have requested a package update.,0
But there doesn't seem to be any reply yet.,0
User ID - 22719481241,0
Who here remembers this TV show?,0
What's app ekath denna.,0
To who may concern.,0
I am trying to get fiber Internet connecting almost two years .,0
I paid Rs 2000 marketing company he runaway with money.,0
I complained to Batz answer was that company no more exist and Batz could not take responsibility,0
Last July 26 we reapply again in Kiribathgoda.,0
Batz staff said ok we will call you with a week .,0
No reply now after 10 day we visit answer was sorry application is missing . Can you fill the application again . we did and wait one week . today saying we cannot enter new application .,0
They do not know when they can give .,0
There is no one to give answer .,0
I am in Devela Road in Makola Noth.,0
I cannot give the phone no publicly.,0
Please reply I will give my no,0
We are the champion........,0
dear Zemlak.,0
I'm waiting for the fiber connection to be activated.,0
Waiting ❤️,0
අංක3ක් හරි😏,0
Peredha 5 gb extra add kara.,0
Iye thawa 5k add wela thbba.,0
Agee lay nathuwe hitiye.,0
